Title,Rating,Academy Awards,Actors,Categories,Detailed_Release,Directors,Dist,Distributor Long Name,Year(DVD/Video Release Date),Golden Globes,Language,Producers,Production Companies,Quarter(Release Date),Sound Formats,Visual Formats,Writers,Total Cume,Total DVD/Video Release Window,Total Locs At Opening,Total Locs At Widest Release,Total Opening 7 Day Gross,Total Opening Day Gross,Total Opening Wknd Avg,Total Opening Wknd Gross,Total Opening Wknd Locs,Total Run Time
max 2: white house hero,pg,,"carrie genzel, francesca capaldi, lochlyn munro, zane austin","family, adventure",5/5/2017,brian levant,orirl,orion releasing,,,english,"ken blancato, matt bierman",,Q2 2017,dolby srd,scope,steven altiere,0,0,25,25,0,0,0,0,25,85
zipper: coney island's last wild ride,nr,,,documentary,8/9/2013,amy nicholson,ind,independent,,,english,,,Q3 2013,,,,0,0,0,0,0,0,0,0,0,77
lucky you,pg13,,"debra messing, drew barrymore, eric bana, horatio sanz, jean smart, joey kern, robert downey  jr., robert duvall",drama,5/4/2007,curtis hanson,wb,warner bros.,2007,,english,"carol fenelon, curtis hanson, denise di novi","deuce three productions, dinovi pictures, village roadshow pictures",Q2 2007,quad,scope,"curtis hanson, eric roth","5,758,950",137,"2,525","2,525","3,622,974","1,019,572","1,073","2,710,445","2,525",124
brothers (2009),r,,"bailee madison, clifton collins jr., jake gyllenhaal, natalie portman, tobey maguire",drama,12/4/2009,jim sheridan,lgf,lionsgate,2010,,english,"michael de luca, ryan kavanaugh, sigurjon sighvatsson","michael de luca productions, palomar pictures, relativity media",Q4 2009,"dts, dolby srd",scope,david benioff,"28,544,157",109,"2,088","2,088","12,401,791","3,574,150","4,563","9,527,848","2,088",110
elvis & nixon,r,,"alex pettyfer, colin hanks, johnny knoxville, kevin spacey, michael shannon",drama,4/22/2016,liza johnson,bst,bleecker street,2016,,english,"cassian elwes, holly wiersma",,Q2 2016,,,"cary elwes, hanala sagal, joey sagal","1,055,284",46,381,381,"685,041","150,709","1,224","466,447",381,87
righteous kill,r,,"al pacino, brian dennehy, carla gugino, curtis '50 cent' jackson, donnie wahlberg, john leguizamo, robert de niro, terry serpico","suspense, crime, drama",9/12/2008,jon avnet,ovr,overture films,2009,,english,"alexandra milchan, avi lerner, boaz davidson, daniel m. rosenberg, george furla, jon avnet, lati grobman, randall emmett, rob cowan","emmett/furla films, grosvenor park productions, inventure entertainment, millennium films, nu image films",Q3 2008,quad,scope,russell gewirtz,"40,081,410",116,"3,152","3,152","21,109,754","5,847,388","5,168","16,288,361","3,152",101
superhero movie,pg13,,"brent spiner, christopher mcdonald, drake bell, jeffrey tambor, keith david, kevin hart, leslie nielsen, marion ross, nicole sullivan, pamela anderson, regina hall, robert hays, robert joy, ryan hansen, sam cohen, sara paxton, tracy morgan","comedy, action",3/28/2008,craig mazin,mgm,mgm,2008,,english,"craig mazin, david zucker, robert k. weiss",dimension films,Q1 2008,quad,flat,craig mazin,"25,881,068",102,"2,960","2,965","11,481,741","3,472,023","3,213","9,510,297","2,960",87
all in - the poker movie,nr,,"annie duke, chris moneymaker, frank deford, ira glass, kenny rogers, matt damon, phil hellmuth jr.",documentary,3/23/2012,douglas tirola,ind,independent,2012,,english,douglas tirola,,Q1 2012,stereo,flat,douglas tirola,0,109,1,1,0,0,0,0,1,109
san andreas,pg13,,"alec utgoff, alexandra daddario, archie panjabi, art parkinson, carla gugino, colton haynes, dwayne johnson, hugo johnstone-burt, ioan gruffudd, kylie minogue, matt gerald, morgan griffin, todd williams, will yun lee","action, adventure, drama, foreign, suspense",5/29/2015,brad peyton,wb,warner bros.,2015,,english,"beau flynn, tripp vinson","flynn picture co., new line cinema, village roadshow pictures",Q2 2015,quad,"3d, imax, scope",carlton cuse,"155,190,832",144,"3,777","3,812","72,626,201","18,148,048","14,453","54,588,173","3,777",114
una,r,,"ben mendelsohn, david shields, isobelle molloy, natasha little, poppy corby-tuech, riz ahmed, rooney mara, tara fitzgerald, tobias menzies","drama, suspense",10/6/2017,benedict andrews,emn,eammon films,2018,,english,"jean doumanian, maya amsellem, patrick daly",,Q4 2017,,,david harrower,0,88,1,1,0,0,0,0,1,90
book club with michael smerconish,nr,,,special events,03/20/2012 (tue),event director,screen,screenvision media,,,english,,,Q1 2012,stereo,digital,,0,0,0,0,0,0,0,0,0,90
annihilation,r,,"gina rodriguez, jennifer jason leigh, natalie portman, oscar isaac, sonoya mizuno, tessa thompson","science fiction, suspense",2/23/2018,alex garland,par,paramount,2018,,english,"allon reich, andrew macdonald","dna films, scott rudin productions, skydance media",Q1 2018,dolby srd,scope,alex garland,"32,545,040",88,"2,012","2,112","14,986,742","3,866,815","5,503","11,071,584","2,012",115
true wolf,nr,,,documentary,6/22/2012,rob whitehair,shd,shadow distribution,,,english,pam voth,,Q2 2012,,,,0,0,1,1,0,0,0,0,1,76
david & layla,r,,"callie thorne, david moscow, peter van wagner, polly adams, shiva rose mcdermott","comedy, drama, romance",7/20/2007,jay jonroy,d&l,"david & layla, llc",2009,,english,jay jonroy,,Q3 2007,,,,"120,750",858,7,7,"20,491",0,"2,070","14,491",7,108
split: a deeper divide,nr,,,documentary,10/12/2012,kelly nyks,ind,independent,,,english,"jared p. scott, jeff beard, kelly nyks, peter d. hutchison",,Q4 2012,,,,0,0,0,0,0,0,0,0,0,70
"wolf of wall street, the",r,,"barry rothbart, christine ebersole, cristin milioti, ethan suplee, jake hoffman, jean dujardin, jon bernthal, jon favreau, jonah hill, kenneth choi, kyle chandler, leonardo dicaprio, margot robbie, matthew mcconaughey, p.j. byrne, rob reiner, shea whigham",drama,12/25/2013 (wed),martin scorsese,par,paramount,2014,best actor - musical or comedy,english,"emma tillinger koskoff, joey mcfarland, leonardo dicaprio, martin scorsese, riza aziz","appian way, red granite pictures, sikelia productions",Q4 2013,"dts, dolby srd",scope,terence winter,"116,900,694",90,"2,537","2,557","34,103,555","9,150,379","7,238","18,361,578","2,537",180
revelation road 2,pg13,,"brian bosworth, david a.r. white, steve 'sting' borden","action, suspense",7/12/2013,gabriel sabloff,free,freestyle releasing,,,english,,,Q3 2013,dolby srd,digital,,"4,871",0,5,5,"4,871",903,744,"3,722",5,91
ghost team,nr,,"amy sedaris, david krumholtz, jon heder, justin long, melonie diaz, paul downs",comedy,8/12/2016,oliver irving,orch,the orchard,2016,,english,"alex sagalchik, julie christeas, schuyler weiss","mott street pictures, tandem pictures",Q3 2016,dolby srd,scope,"oliver irving, peter warren","13,612",67,10,10,"5,837",0,450,"4,499",10,83
plush,r,,"cam gigandet, emily browning, frances fisher, xavier samuel","drama, suspense",9/13/2013,catherine hardwicke,ind,independent,2013,,english,,blumhouse productions,Q3 2013,dolby sr,flat,"catherine hardwicke, marty nelson","3,080",32,10,10,"3,080",0,284,"2,843",10,99
before i fall,pg13,,"cynthy wu, elena kampouris, halston sage, jennifer beals, kian lawley, logan miller, medalion rahimi, zoey deutch",drama,3/3/2017,ry russo-young,oprd,open road,2017,,english,"brian robbins, jon shestack, matthew kaplan",,Q1 2017,dolby srd,scope,maria maggenti,"12,241,072",88,"2,346","2,346","5,928,812","1,669,829","1,999","4,690,214","2,346",99
respond to sound ii,nr,,,documentary,06/21/2007 (thu),adrian younge,ind,independent,,,english,carey ysais,,Q2 2007,,,,0,0,0,0,0,0,0,0,0,56
kelly & cal,r,,"cybill shepherd, jonny weston, juliette lewis",comedy,9/5/2014,jen mcgowan,ifc,ifc films,2014,,english,,,Q3 2014,dolby srd,scope,,"17,702",116,1,6,"6,520",0,"5,387","5,387",1,110
"little bit of heaven, a",pg13,,"gael garcia bernal, kate hudson, kathy bates, lucy punch, peter dinklage, romany malco, rosemarie dewitt, whoopi goldberg","comedy, drama, romance",5/4/2012,nicole kassell,millent,millennium entertainment,2012,,english,"adam schroeder, john davis, mark gill, neil sacker, robert katz",,Q2 2012,dolby sr,scope,gren wells,"15,375",39,11,11,"15,375",0,910,"10,011",11,107
remote area medical,nr,,,documentary,11/28/2014,"farihah zaman, jeff reichert",cndgm,cinedigm entertainment,2015,,english,"dan o'meara, jeff reichert, rarihah zaman",,Q4 2014,dolby srd,flat,"jeff reichert, rarihah zaman",0,102,0,0,0,0,0,0,0,80
field of lost shoes,pg13,,"david arquette, lauren holly, luke benward, max lloyd-jones, zach roerig","drama, action, war",9/26/2014,sean mcnamara,ind,independent,2014,,english,"david m. kennedy, thomas f. farrell ii",,Q3 2014,dolby srd,digital,"david m. kennedy, thomas f. farrell ii",0,67,24,24,0,0,0,0,24,96
met opera: otello (2015),nr,,"aleksandrs anotonenko, sonya yoncheva, zeljko lucic",special events,10/17/2015 (sat),bartlett sher,fthm,fathom events,,,italian,,,Q4 2015,,,,"1,300,000",0,900,900,"1,300,000",0,"1,444","1,300,000",900,210
met opera: der rosenkavalier (2017),nr,,,special events,05/13/2017 (sat),robert carsen,fthm,fathom events,,,german,,,Q2 2017,,,,0,0,0,0,0,0,0,0,0,0
thor at the bus stop,nr,,"barrett applegate, chris mcinroy, dana bomar, jason neistadt, joe berry, robert shupe",comedy,9/25/2009,"jerry thompson, mike thompson",ind,independent,2012,,english,"david schmoeller, may may luong",,Q3 2009,stereo,flat,"jerry thompson, mike thompson",0,942,0,0,0,0,0,0,0,101
cooties,r,,"alison pill, armani jackson, elijah wood, ian brennan, jack mcbrayer, jorge garcia, leigh whannell, nasim pedrad, rainn wilson","comedy, horror",9/18/2015,"cary murnion, jonathan milott",lgpr,lionsgate premiere releasing,2015,,english,"daniel noah, elijah wood, georgy malkov, josh c. waller, steven schneider, tove christensen","glacier films, spectrevision",Q3 2015,dolby srd,scope,"ian brennan, leigh whannell","60,058",74,29,29,"48,204",0,"1,139","33,031",29,88
noelle,pg,,"brennan wall, curt dewitz, jeanne bates, kerry brennan, sean patrick brennan",drama,12/7/2007,,gen8,gener8xion entertainment,2008,,english,,,Q4 2007,dolby srd,flat,,"257,868",340,203,203,"219,837",0,815,"165,445",203,91
rivers of a lost coast,nr,,,documentary,5/22/2009,justin coupe,ind,independent,,,english,,,Q2 2009,,,"justin coupe, palmer taylor",0,0,0,0,0,0,0,0,0,84
"pretty one, the",r,,"dale raoul, frankie shaw, jake johnson, john carroll lynch, ron livingston, shae d'lyn, sterling beaumon, zoe kazan",comedy,2/7/2014,jenee lamarque,dada,dada films,2014,,english,"robin schorr, steven berger",,Q1 2014,dolby srd,digital,jenee lamarque,"13,769",207,1,5,"2,354",309,"1,484","1,484",1,90
driving miss daisy: on stage,nr,,,special events,05/14/2015 (thu),event director,fthm,fathom events,,,english,,,Q2 2015,,,,0,0,0,0,0,0,0,0,0,90
"stray, a",nr,,barkhad abdirahman,drama,10/21/2016,musa syeed,ind,independent,,,english,jamila wignot,,Q4 2016,,,musa syeed,0,0,1,1,0,0,0,0,1,82
adam resurrected,r,,"ayelet zurer, derek jacobi, jeff goldblum, willem dafoe","drama, foreign, war",12/12/2008,paul schrader,svn,seventh art releasing,2009,,english,"ehud bleiberg, werner wirsing-leuke",,Q4 2008,dolby srd,scope,noah stollman,0,284,0,0,0,0,0,0,0,106
remember the goal,pg,,"allee-sutton hethcoat, jayla palmer, lacy hartselle, quinn alexis, sydney marks",drama,8/26/2016,dave christiano,5&2,five & two pictures,2017,,english,dave christiano,,Q3 2016,,,dave christiano,"119,100",263,77,77,"10,026",0,911,"70,136",77,0
"country called home, a",nr,,"imogen poots, josh helman, june squibb, mackenzie davis, mary mccormack, ryan bingham, shea whigham",drama,2/26/2016,anna axster,alch,alchemy,2016,,english,"jason netter, nicolas gonda",,Q1 2016,,,"anna axster, jim beggarly",0,4,0,0,0,0,0,0,0,0
remembering playland at the beach,nr,,,documentary,4/23/2010,tom wyrsch,ind,independent,,,english,,,Q2 2010,,,,0,0,0,0,0,0,0,0,0,0
order of chaos,r,,"chip joslin, milo ventimiglia, mimi rogers, rhys coiro, samantha mathis, susan ward",suspense,2/12/2010,vince vieluf,cep,cinema epoch,2010,,english,"caitlin murney, gil cates jr.",,Q1 2010,dolby sr,flat,vince vieluf,"3,054",32,1,1,"3,054","2,034","2,865","2,865",1,89
baywatch,r,,"alexandra daddario, dwayne johnson, ilfenesh hadera, jon bass, kelly rohrbach, priyanka chopra, rob huebel, zac efron",comedy,05/25/2017 (thu),seth gordon,par,paramount,2017,,english,"douglas schwartz, dwayne johnson, gregory j. bonann, ivan reitman, michael berk, tom pollock",,Q2 2017,dolby srd,scope,"damian shannon, mark swift","58,060,186",96,"3,647","3,647","28,617,924","4,606,514","5,074","18,503,871","3,647",116
justin bieber:  never say never,g,,justin bieber,"documentary, concert",2/11/2011,jon chu,par,paramount,2011,,english,"antonio reid, dan cutforth, jane lipsitz, scooter braun, usher raymond","aeg live, insurge pictures, mtv films, magical elves productions",Q1 2011,quad,"3d, flat",,"73,013,910",91,"3,105","3,118","34,872,749","12,364,386","9,505","29,514,054","3,105",105
6 below: miracle on the mountain,pg13,,"josh hartnett, kale culley, mira sorvino, sarah dumont","drama, suspense",10/13/2017,scott waugh,mmtp,momentum pictures,2017,,english,"scott waugh, simon swart, tucker tooley","dune entertainment, october sky films, sonar entertainment",Q4 2017,,,madison turner,0,32,0,0,0,0,0,0,0,97
"yes men fix the world, the",nr,,,"documentary, foreign",10/07/2009 (wed),"andy bichlbaum, kurt engfehr, mike bonanno",shd,shadow distribution,2010,,english,"doro bachrach, laura nix, ruth charny",,Q4 2009,,,"andy bichlbaum, mike bonanno","194,533",176,1,13,"10,944",0,"10,956","10,956",1,90
lost in the fog,nr,,,documentary,4/24/2009,john corey,ind,independent,,,english,john corey,,Q2 2009,stereo,,,0,0,0,0,0,0,0,0,0,81
made in jamaica,nr,,,"documentary, foreign",01/23/2008 (wed),jerome laperrousaz,artmp,artmattan productions,,,english,,,Q1 2008,dolby srd,flat,jerome laperrousaz,"3,149",0,0,2,0,0,0,0,0,110
cruising (re),r,,"al pacino, don scardino, joe spinell, karen allen, paul sorvino, richard cox","drama, crime, suspense",9/7/2007,william friedkin,wb,warner bros.,2007,,english,jerry weintraub,,Q3 2007,mono,flat,,0,11,3,3,0,0,0,0,3,102
tusk,r,,"genesis rodriguez, haley joel osment, justin long, michael parks",horror,9/19/2014,kevin smith,a24,a24,2014,,english,,,Q3 2014,dts,scope,kevin smith,"1,826,705",102,602,602,"1,134,536",0,"1,407","846,831",602,102
please subscribe: documentary youtubers,nr,,"adam montoya, hannah hart, joe penna, mitchell davis, will hyde","documentary, special events",02/05/2013 (tue),dan dobi,screen,screenvision media,,,english,"dan dobi, mike cruz, ross everett",,Q1 2013,stereo,digital,dan dobi,0,0,217,217,0,0,0,0,217,85
star trek,pg13,best makeup,"anton yelchin, bruce greenwood, chris hemsworth, chris pine, clifton collins jr., eric bana, jennifer morrison, jimmy bennett iii, karl urban, simon pegg, winona ryder, zachary quinto, zoe saldana","action, adventure, fantasy, science fiction",5/8/2009,j.j. abrams,par,paramount,2009,,english,"damon lindelof, j.j. abrams","bad robot, spyglass entertainment",Q2 2009,quad,"imax, scope","alex kurtzman, roberto orci","257,730,019",193,"3,849","4,053","104,610,837","30,893,975","20,578","79,204,289","3,849",127
all good things,r,,"diane venora, frank langella, john doman, kirsten dunst, kristen wiig, nick offerman, philip baker hall, ryan gosling, trini alvarado, zoe lister jones","drama, mystery, suspense",12/3/2010,andrew jarecki,mag,magnolia pictures,2011,,english,"andrew jarecki, bruna papandrea, marc smerling, michael london",,Q4 2010,dolby sr,flat,"marc smerling, marcus hinchey","582,024",116,2,35,"51,441",0,"18,586","37,172",2,101
"lords of salem, the",r,,"bruce davison, dee wallace, jeff daniel phillips, judy geeson, ken foree, maria conchita alonso, meg foster, patricia quinn, sheri moon zombie","horror, foreign, suspense",4/19/2013,rob zombie,anchr,anchor bay,2013,,english,"andy gould, jason blum, oren peli, rob zombie",,Q2 2013,dolby srd,scope,rob zombie,"1,165,882",137,355,355,"855,293","285,242","1,811","642,942",355,100
altered minds,nr,,"c.s. lee, caroline lagerfelt, jaime ray newman, joseph lyle taylor, judd hirsch, ryan o'nan","drama, suspense",11/20/2015,michael z. wechsler,grav,gravitas ventures,2016,,english,"michael z. wechsler, shawn singh",,Q4 2015,dolby srd,scope,michael z. wechsler,0,200,10,10,0,0,0,0,10,93
notorious (2009),r,,"angela bassett, anthony mackie, derek luke, jamal woolard, naturi naughton",drama,1/16/2009,george tillman jr.,fsl,fox searchlight,2009,,english,"edward bates, mark pitts, robert teitel, trish hofmann, voletta wallace, wayne barrow","bystorm films, fox searchlight pictures, state street pictures, voletta wallace films",Q1 2009,quad,scope,"cheo hodari coker, reggie rock bythewood","36,843,682",95,"1,638","1,641","26,094,846","8,308,024","12,514","20,497,596","1,638",123
island of lemurs: madagascar,g,,morgan freeman,documentary,4/4/2014,david douglas,wb,warner bros.,2015,,english,drew fellman,"imax, warner bros.",Q2 2014,,"3d, imax",drew fellman,"11,022,302",361,37,302,"308,993","57,326","5,089","188,307",37,40
friends and romans,nr,,"annabella sciorra, michael rispoli, paul ben-victor",comedy,10/23/2015,christopher kublan,pala,paladin,2016,,english,,,Q4 2015,dolby srd,flat,,"19,788",256,1,14,"1,276",0,0,0,1,98
"dog, the",nr,,,documentary,8/8/2014,"allison berg, francois keraudren",drft,drafthouse films,2014,,,"allison berg, francois keraudren",,Q3 2014,dolby srd,scope,,"44,582",88,3,16,"18,991",0,"4,144","12,431",3,100
duran duran: unstaged,nr,,"john taylor, nick rhodes, roger taylor, simon le bon","documentary, concert, special events",03/23/2014 (sun),david lynch,screen,screenvision media,,,english,,,Q1 2014,,,,0,0,0,0,0,0,0,0,0,110
blue jay,nr,,"clu gulager, mark duplass, sarah paulson","comedy, drama",10/7/2016,alex lehmann,orch,the orchard,2016,,english,"mel eslyn, xan aranda",,Q4 2016,,,mark duplass,"7,351",39,1,1,"7,351","3,032","5,159","5,159",1,80
just add water,r,,"anika noni rose, brad hunt, danny devito, dylan walsh, joey kern, jonah hill, justin long, melissa mccarthy, tracy middendorf","comedy, romance",3/28/2008,hart bochner,ind,independent,2008,,english,"clifford werber, robin bissell","bleeding hart films, dewey beach films, kindred media group",Q1 2008,,,,0,81,0,0,0,0,0,0,0,95
blackhat,r,,"brandon molale, chris hemsworth, holt mccallany, jason butler harner, john ortiz, manny montana, ritchie coster, spencer garrett, tang wei, tracee chimo, viola davis, wang leehom, wei tang, william mapother","action, drama",1/16/2015,michael mann,uni,universal,2015,,english,"michael mann, thomas tull","forward pass, legendary entertainment",Q1 2015,quad,scope,"michael mann, morgan davis foehl","8,005,980",116,"2,567","2,568","5,429,150","1,385,015","1,520","3,901,815","2,567",133
evidence of a haunting,nr,,"audrey elizabeth evans, christopher cassarino, larry jack dotson, renee wiggins","horror, suspense",8/26/2011,joey evans,noct,nocturnal features,2011,,english,aaron page,,Q3 2011,stereo,digital,chris daly,"71,834",-24,10,10,"29,904",0,"1,680","16,800",10,82
"truth about emanuel, the",nr,,"alfred molina, aneurin barnard, jessica biel, jimmi simpson, kaya scodelario",drama,1/10/2014,francesca gregorini,trbca,tribeca film,2014,,english,francesca gregorini,,Q1 2014,dolby srd,flat,francesca gregorini,"4,404",74,11,11,"4,404",0,0,0,11,96
it's so easy and other lies,nr,,"duff mckagan, mike mccready, slash",documentary,6/3/2016,christopher duddy,ind,independent,,,english,,,Q2 2016,,,christopher duddy,0,0,0,0,0,0,0,0,0,88
ikland,nr,,,documentary,6/15/2012,"cevin d. soling, david hilbert",ind,independent,2012,,english,,,Q2 2012,,,,0,20,0,0,0,0,0,0,0,0
bridegroom,r,,"shane bitney crone, thomas bridegroom",documentary,10/4/2013,linda bloodworth-thomason,ind,independent,2013,,english,"allen crowe, linda bloodworth-thomason",,Q4 2013,,,,0,46,0,4,0,0,0,0,0,79
star trek ii: the wrath of khan 35 anniv,pg,,"bibi besch, deforest kelley, george takei, james doohan, kirstie alley, leonard nimoy, merritt butrick, nichelle nichols, paul  winfield, ricardo montalban, walter koenig, william shatner","action, adventure, science fiction, special events",09/10/2017 (sun),nicholas meyer,fthm,fathom events,2003,,english,,,Q3 2017,,,,"760,777","-5,227",682,682,"760,777","760,777","1,116","760,777",682,130
prince of swine,nr,,"john klemantaski, mark toma, nell ruttledge",comedy,5/28/2010,mark toma,ind,independent,,,english,mark toma,,Q2 2010,,,mark toma,0,0,0,0,0,0,0,0,0,100
broken english,pg13,,"drea de matteo, gena rowlands, justin theroux, melvil poupaud, parker posey, peter bogdanovich",romantic comedy,6/22/2007,zoe r. cassavetes,mag,magnolia pictures,2007,,english,"andrew fierberg, jason kliot, joana vicente",hdnet films,Q2 2007,dolby srd,flat,zoe r. cassavetes,"956,919",60,7,41,"83,727",0,"7,885","55,198",7,93
"blues brothers, the (re 2012)",,,"aretha franklin, cab calloway, carrie fisher, charles napier, dan aykroyd, henry gibson, john belushi, john candy, ray charles",comedy,,john landis,oth,other,1999,,english,,,,,,,0,0,0,0,0,0,0,0,0,0
where is robert fisher?,,,,documentary,10/7/2011,,ind,independent,,,english,,,Q4 2011,,,,0,0,0,0,0,0,0,0,0,0
beautiful creatures,pg13,,"alden ehrenreich, alice englert, emma thompson, emmy rossum, jack o'connell, jeremy irons, kyle gallner, thomas mann, viola davis, zoey deutch","drama, fantasy, romance",02/14/2013 (thu),richard lagravenese,wb,warner bros.,2013,,english,erwin stoff,alcon entertainment,Q1 2013,quad,,richard lagravenese,"19,450,420",96,"2,950","2,950","10,419,948","2,542,317","2,570","7,582,595","2,950",124
raven,r,,"meadow williams, roland kickinger, rudolf martin, steven bauer, weston cage","horror, suspense",3/12/2010,gregori j. martin,ind,independent,,,english,"cherie johnson, gregori j. martin, meadow williams",,Q1 2010,,,aaron pope,0,0,0,0,0,0,0,0,0,100
united in anger: a history of act up,nr,,,documentary,7/6/2012,jim hubbard,ind,independent,,,english,,,Q3 2012,,,,0,0,0,0,0,0,0,0,0,93
american revolutionary: grace lee boggs,nr,,,documentary,3/21/2014,grace lee,ind,independent,,,english,,,Q1 2014,dolby sr,flat,,0,0,1,1,0,0,0,0,1,82
digging up the marrow,nr,,"adam green, alex pardee, josh ethier, kane hodder, mick garris, ray wise, rileah vanderbilt, sarah elbert, tom holland, will barratt","drama, fantasy",2/20/2015,adam green,ind,independent,2015,,english,cory neal,,Q1 2015,,,adam green,0,32,0,0,0,0,0,0,0,98
five dances,nr,,"catherine miller, kimiye corwin, luke murphy, reed luplau",drama,10/4/2013,alan brown,pala,paladin,2014,,english,,,Q4 2013,,flat,alan brown,0,298,1,1,"5,788",0,"5,788","5,788",1,83
playing it cool,r,,"anthony mackie, ashley tisdale, aubrey plaza, chris evans, ioan gruffudd, luke wilson, martin starr, michelle monaghan, patrick warburton, topher grace","comedy, romance",5/8/2015,justin reardon,ind,independent,2015,,english,"craig j. flores, mary viola, mcg, nicolas chartier",,Q2 2015,dolby srd,digital,"chris shafer, paul vicknair",0,39,0,0,0,0,0,0,0,94
"matador, the",nr,,,"documentary, foreign",10/31/2008,"nina gilden seavey, stephen higgins",clpr,city lights pictures releasing,2009,,spanish,"nina gilden seavey, stephen higgins",,Q4 2008,dolby sr,flat,,"21,816",116,1,2,"9,250",0,"6,695","6,695",1,74
norm of the north,pg,,"bill nighy, colm meaney, gabriel iglesias, heather graham, jocko sims, ken jeong, loretta devine, michael mcelhatton, rachel grate, rob schneider, zeus mendoza","animation, adventure, family",1/15/2016,trevor wall,lgf,lionsgate,2016,,english,"elizabeth young, mike young, nicolas atlan, steve rosen",splash entertainment,Q1 2016,dolby srd,flat,"derek elliott, jack donaldson","17,062,499",88,"2,411","2,411","10,196,203","1,581,507","2,839","6,844,137","2,411",90
one for the money,pg13,,"daniel sunjata, debbie reynolds, jason o'mara, john leguizamo, katherine heigl, patrick fischler, sherri shepherd","comedy, action, romance, suspense",1/27/2012,julie anne robinson,lgf,lionsgate,2012,,english,"andre lamal, gary lucchesi, sidney kimmel, tom rosenberg, wendy finerman","lakeshore entertainment, sidney kimmel entertainment, wendy finerman productions",Q1 2012,quad,scope,liz brixius,"26,414,527",109,"2,737","2,737","14,417,987","4,100,384","4,207","11,515,790","2,737",91
bidder 70,nr,,,documentary,5/17/2013,"beth gage, george gage",fsr,first run,2013,,english,,,Q2 2013,dolby srd,digital,,"5,074",60,1,4,"3,701",0,"2,477","2,477",1,73
minimalism: a documentary about the imp,nr,,,documentary,05/24/2016 (tue),matt d'avella,gathr,gathr films,,,english,"joshua fields millburn, ryan nicodemus",,Q2 2016,,flat,,"261,865",0,80,80,"44,161","96,967",0,0,0,79
clear blue tuesday,nr,,"asa somers, becca ayers, brother love, cassandra kubinski, erin hill, greg naughton, jan o'dell, jeremy schonfeld, julie danao-salkin, roi hager, vedant gokhale",musical,9/3/2010,elizabeth lucas,ind,independent,,,english,"alexander hammer, daniel wallace, elizabeth lucas, trish whitehurst",,Q3 2010,,digital,elizabeth lucas,0,0,0,0,0,0,0,0,0,105
dark disciple,r,,"allan caggiano, loren bishop, michael brennan, richard smith, ti cassiani",suspense,10/17/2014,allan caggianor,ind,independent,,,english,,,Q4 2014,,digital,,0,0,0,0,0,0,0,0,0,90
gibsonburg,nr,,"lili reinhart, louis bonfante",drama,6/7/2013,bob mahaffey,ind,independent,,,english,bob mahaffey,,Q2 2013,stereo,digital,bob mahaffey,"26,733",0,21,21,"26,733",0,873,"18,327",21,90
fat kid rules the world,r,,"billy campbell, dylan arnold, megan day",comedy,10/5/2012,matthew lillard,out,outsider pictures,2013,,english,,,Q4 2012,,,,0,109,1,1,0,0,0,0,1,0
my soul to take,r,,"denzel whitaker, frank grillo, max thieriot, nick lashaway, zena grey","horror, suspense",10/8/2010,wes craven,uni,universal,2011,,english,"anthony katagas, wes craven",relativity media,Q4 2010,quad,"3d, scope",wes craven,"14,744,435",123,"2,572","2,572","8,745,285","2,649,160","2,660","6,842,220","2,572",108
"abduction of zack butterfield, the",nr,,"brett helsham, tj plunkett","drama, suspense",5/27/2011,rick lancaster,ind,independent,,,english,stephen m. ryder,,Q2 2011,,flat,"rick lancaster, stephen m. ryder",0,0,0,0,0,0,0,0,0,91
new in town,pg,,"harry connick jr., j.k. simmons, renee zellweger","comedy, romance",1/30/2009,jonas elmer,lgf,lionsgate,2009,,english,"andrew paquin, darryl taja, paul brooks, peter safran, phyllis laing, tracey e. edmonds",gold circle entertainment,Q1 2009,quad,flat,"c. jay cox, ken rance","16,734,283",116,"1,941","1,941","8,628,291","2,436,915","3,473","6,741,530","1,941",96
not today,pg13,,"cassie scerbo, cody longo, john schneider, shari rigby, walid amini",drama,4/12/2013,jon van dyke,free,freestyle releasing,2013,,english,"brent martz, chris bueno, denise bueno",,Q2 2013,dolby srd,digital,jon van dyke,"318,121",116,41,41,"119,086","38,643","2,350","96,347",41,118
kill ratio,nr,,"amy huberman, lacy moore, tom hopper",action,12/9/2016,paul tanter,ind,independent,2017,,english,,,Q4 2016,,,steven palmer peterson,0,200,0,0,0,0,0,0,0,0
eloise,nr,,"brandon t. jackson, chace crawford, eliza dushku, martin klebba, p.j. byrne, robert patrick","suspense, horror, mystery",2/3/2017,robert legato,vent,vertical entertainment,2017,,english,"sanford nelson, tripp vinson",,Q1 2017,,,christopher borrelli,0,46,0,0,0,0,0,0,0,88
x-men: first class,pg13,,"alex gonzalez, beth goddard, hugh jackman, james mcavoy, january jones, jason flemyng, jennifer lawrence, kevin bacon, michael fassbender, nicholas hoult, oliver platt, rebecca romijn, rose byrne","action, adventure, science fiction",6/3/2011,matthew vaughn,fox,20th century fox,2011,,english,"bryan singer, lauren shuler donner, simon kinberg","bad hat harry productions, donners company, the, marvel studios",Q2 2011,quad,scope,"jamie moss, josh schwartz","146,408,305",98,"3,641","3,692","73,894,349","21,398,778","15,134","55,101,604","3,641",132
